Variáveis;Rótulos
IBGE;IBGE_codigo_ibge_IBGE
UF;Nome_UF_UF
Regiao;Regiao_Região
IBGE7;IBGE7_codigo IBGE com 7 digitos
Municipio;Município
Porte_pop2010;Porte_pop2010_Porte_pop2010
Pop_total_2010;Pop_total_2010_Pop_total_2010
Pop_Urbana2010;Pop_Urbana2010_Pop_Urbana2010
Pop_Rural2010;Pop_Rural2010_Pop_Rural2010
areaKm2;area Km2_area Km2
Q_completo;Q_completo _Q_completo _questionarios completos
NU_IDENTIFICADOR;NU_IDENTIFICADOR_id_creas_NU_IDENTIFICADOR
q58_1;q58_1_v10581_58.1. Nome Completo
co_seq_dirigente;co_seq_dirigente_co_seq_dirigente_co_seq_dirigente
q58_2;q58_2_v10582_58.2. Data de nascimento
q58_3;q58_3_v10583_58.3. Sexo
q58_4;q58_4_v10584_58.4. Número do CPF
q58_5;q58_5_v10585_58.5. RG - Número
q58_6;q58_6_v10586_58.6. RG - Órgão Emissor
q58_8;q58_8_v10588_58.8. Escolaridade
q58_9;q58_9_v10589_58.9. Profissão
q58_10;q58_10_v10590_58.10. Vínculo
q58_11;q58_11_v10591_58.11. Função
q58_12;q58_12_v10592_58.12. Carga horária SEMANAL
q58_13;q58_13_v10593_58.13. Início do exercício da função
q58_14;q58_14_v10594_58.14. Serviços/Atividade a qual o profissional está vinculado - Principal serviço/atividade
q58_15;q58_15_v10595_58.15. Serviços/Atividade a qual o profissional está vinculado - Segundo principal serviço/atividade
q58_16;q58_16_v10596_58.16. Serviços/Atividade a qual o profissional está vinculado - Terceiro principal serviço/atividade
DataCenso;"COMPUTE DataCenso=""31.08.2019"""
DataCenso_2019;DataCenso recodificada
Idade;Idade
Faixas_etarias;Faixas etárias dos Trabalhadores dos CRAS
d_58_8;d_58_8_Níveis de escolaridade
d_58_8bin1;d_58_8bin1_Nível fundamental - Trabalhadores que possuem até o nível médio (inclui aqueles sem escolaridade)
d_58_8bin2;d_58_8bin2_Nível médio - Trabalhadores com ensino superior incompleto e ensino médio completo
