code_suas,municipio,cod_ibge,uf,nome_centro,tipo_centro,endereco,telefone,data_abertura,fonte_centros,fonte_geocode,lon,lat
51061700687,Nova Nazaré,5106174,MT,CRAS CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,CRAS,"01 ESQUINA COM A RUA FREI AUGUSTINE, 0 - CENTRO, Nova Nazaré - MT, 78638000",6634671118,26/04/2004,MDS,Google,-51.7993218,-13.9882308
26139006674,Serra Talhada,2613909,PE,CRAS MUTIRÃO,CRAS,"01, LOTE 27, 27 - MUTIRÃO, Serra Talhada - PE, 56900000",8796263420,01/05/2008,MDS,Google,-38.2885167,-7.9747877
29071020255,Carinhanha,2907103,BA,CRAS RURAL 2,CRAS,"02 DE JULHO, 0 - CENTRO, Carinhanha - BA, 46445000",7734852828,01/05/2010,MDS,Google,-43.76801,-14.3024774
29226502809,Nordestina,2922656,BA,CRAS CAJUEIRO,CRAS,"02 DE JULHO, 440 - CENTRO, Nordestina - BA, 48870000",7536502300,01/01/2004,MDS,Google,-39.4297427,-10.8247619
21021504425,Brejo de Areia,2102150,MA,CRAS EDUARDO BARBOSA DA SILVA,CRAS,"02 DE NOVEMBRO, 0 - Centro, Brejo de Areia - MA, 65315000",9836731148,01/07/2007,MDS,Google,-45.5826417,-4.3349476
15060020051,Prainha,1506005,PA,CRAS - URUARA,CRAS,"02 de Julho, 0 - ZONA RURAL, Prainha - PA, 68130000",93984126601,13/10/2010,MDS,Google,-53.5635637,-2.1074872
17150030303,Nova Rosalândia,1715002,TO,CRAS - CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL DE NOVA ROSALANDIA,CRAS,"03 DE MAIO, 0 - CENTRO, Nova Rosalândia - TO, 77495000",6335201207,01/02/2010,MDS,Google,-49.0009403,-10.5547271
53001002776,Brasília,5300108,DF,CRAS PARANOÁ,CRAS,"03 ÁREA ESPECIAL 07, 0 - PARANOÁ, Brasília - DF, 71570301",6133695262,01/11/2004,MDS,Google,-47.7799002,-15.7757162
51028506053,Castanheira,5102850,MT,CRAS RAINHA DAS ÁRVORES DA AMAZONIA,CRAS,"04 DE JULHO, 1 - CENTRO, Castanheira - MT, 78345000",6635811660,01/06/2007,MDS,Google,-58.60903199999999,-11.1369991
51051706501,Juruena,5105176,MT,CRAS,CRAS,"04 DE JULHO, 1 - PARQUE DAS ARARAS, Juruena - MT, 78340000",6635531360,01/11/2007,MDS,Google,-58.49540289999999,-10.3275228
25031000141,Cabaceiras,2503100,PB,CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL DE CABACEIRAS -PB,CRAS,"04 DE JUNHO, 415 - CENTRO, Cabaceiras - PB, 58480000",8333561179,01/03/2007,MDS,Google,NA,NA
22097504840,São Gonçalo do Gurguéia,2209757,PI,CRAS FAMILIA ACOLHEDORA,CRAS,"04 DE OUTUBRO, 0 - CENTRO, São Gonçalo do Gurguéia - PI, 64993000",8935610019,05/05/2005,MDS,Google,-45.3035955,-10.0307118
26047004502,Correntes,2604700,PE,CRAS CASA DAS FAMÍLIAS,CRAS,"04 de Outubro, 57 - CENTRO, Correntes - PE, 55315000",8737721177,01/11/2005,MDS,Google,-36.3298771,-9.127263899999999
27055000070,Murici,2705507,AL,CRAS,CRAS,"05 DE JULHO, 159 - CAMPO GRANDE, Murici - AL, 57820000",8232861434,01/05/2007,MDS,Google,-54.6201211,-20.4697105
13013005117,Codajás,1301308,AM,CRAS CODAJAS,CRAS,"05 DE SETEMBRO, 592 - CENTRO, Codajás - AM, 69450000",92992098326,16/10/2008,MDS,Google,-62.06102250000001,-3.8400079
33027035339,Maricá,3302700,RJ,CRAS  SANTA PAULA,CRAS,"05 LOTE 01 A2 QUADRA 19, 0 - INOÃ, Maricá - RJ, 24900000",2126373648,02/01/2012,MDS,Google,-42.9660207,-22.9342809
33027035337,Maricá,3302700,RJ,CRAS INOÃ,CRAS,"05 Lote  01 Quadra 19, 0 - Inoã, Maricá - RJ, 24940550",2126366532,02/01/2012,MDS,Google,-42.9660207,-22.9342809
52223001749,Vila Propício,5222302,GO,CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,CRAS,"05 QD 28 LOTE 241 S/N, 0 - CENTRO, Vila Propício - GO, 76393000",6233200109,01/01/2005,MDS,Google,-48.7995122,-15.1998705
26012036509,Arcoverde,2601201,PE,CRAS Cidade Jardim,CRAS,"05 de Julho, 136 - Cidade Jardim, Arcoverde - PE, 56500000",8738212458,06/06/2012,MDS,Google,-37.0658578,-8.4312495
22034015165,Dom Expedito Lopes,2203404,PI,CRAS - Dom Expedito Lopes,CRAS,"05 de abril, 551 - Centro, Dom Expedito Lopes - PI, 64620000",89988217167,09/08/2005,MDS,Google,-41.6456793,-6.958933099999999
26136020100,São José do Egito,2613602,PE,CRAS  SÃO JOÃO,CRAS,"06 de Janeiro, 11 - Centro, São José do Egito - PE, 56700000",8738441165,01/06/2010,MDS,Google,-37.2746574,-7.4686612
53001002882,Brasília,5300108,DF,CRAS SOBRADINHO,CRAS,"06 ÁREA ESPECIAL 3 S/N, 0 - SOBRADINHO, Brasília - DF, 73025060",6134871780,01/11/2004,MDS,Google,-47.8688424,-15.6971376
21122006545,Timon,2112209,MA,CRAS CIDADE NOVA- CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,CRAS,"06, SN, 0 - CIDADE NOVA I, Timon - MA, 65633590",9932125430,01/07/2008,MDS,Google,-42.8263879,-5.120845999999999
53001002909,Brasília,5300108,DF,CRAS VARJÃO,CRAS,"07 CONJUNTO D, 0 - VARJÃO, Brasília - DF, 71540400",6134688090,27/03/2009,MDS,Google,-47.877177,-15.710407
21020300264,Bom Jesus das Selvas,2102036,MA,CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL - CRAS,CRAS,"07 DE SETEMBRO, 0 - CENTRO, Bom Jesus das Selvas - MA, 65395000",98989286396,01/01/2006,MDS,Google,-46.670534,-4.5457995
51067010596,Ponte Branca,5106703,MT,CRAS - CENTRO DE REFERENCIA DA ASSISTÊNCIA SOCIAL,CRAS,"07 DE SETEMBRO, 450 - CENTRO, Ponte Branca - MT, 78610000",6634661354,01/01/2008,MDS,Google,NA,NA
22032710115,Curral Novo do Piauí,2203271,PI,CRAS -Centro Referência de Assistencia Social-,CRAS,"07 de Setembro, 0 - Centro, Curral Novo do Piauí - PI, 64595000",8994444404,01/06/2006,MDS,Google,-40.9008066,-7.8329127
52067015434,Damianópolis,5206701,GO,CRAS DAMIANOPOLIS,CRAS,"07 de Setembro, 139 - CENTRO, Damianópolis - GO, 73980000",6234451208,01/07/2010,MDS,Google,-46.1900242,-14.5508222
25051012281,Cuité,2505105,PB,CRAS JOANA DARC DA FONSECA,CRAS,"07 de Setembro, 307 - CENTRO, Cuité - PB, 58175000",8333722385,18/05/2009,MDS,Google,-36.1558519,-6.481629499999999
51005000728,Alto Paraguai,5100508,MT,CASA DA FAMILIA,CRAS,"07 de Setembro, 728 - Centro, Alto Paraguai - MT, 78410000",6533961663,01/04/2007,MDS,Google,-56.6962857,-14.785915899999999
25064004837,Gurinhém,2506400,PB,Casa da Família,CRAS,"07 de setembro, 0 - Centro, Gurinhém - PB, 58356000",8332851136,01/04/2008,MDS,Google,-35.4265548,-7.1234096
43191202669,São Martinho da Serra,4319125,RS,CRAS Acordar para viver.,CRAS,"07 de setembro, 1181 - Centro, São Martinho da Serra - RS, 97190000",5532771020,01/12/2006,MDS,Google,-53.8671868,-29.4844248
29333020597,Vitória da Conquista,2933307,BA,CRAS 3 - PEDRINHAS,CRAS,"08 DE MAIO, 354 - CRUZEIRO, Vitória da Conquista - BA, 45005056",7734215526,10/06/2010,MDS,Google,-40.8339762,-14.8457569
21012000735,Bacabal,2101202,MA,CRAS 1 - LAR DAS FAMILIAS,CRAS,"09 Qd 33, 0 - Vila Frei Solano, Bacabal - MA, 65700000",9936211201,01/06/2007,MDS,Google,-44.797088,-4.209186
29186032561,Jussiape,2918605,BA,CRAS - CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL DE JUSSIAPE,CRAS,"09 de julho, 0 - Centro, Jussiape - BA, 46670000",7734142523,28/03/2011,MDS,Google,-41.5918162,-13.5132947
35439009250,Rio Claro,3543907,SP,CRAS - Região Mãe Preta,CRAS,"1 - MP, 159 - MÃE PRETA, Rio Claro - SP, 13506160",1935249954,12/09/2014,MDS,Google,-47.5436209,-22.3768513
43214512259,Teutônia,4321451,RS,CRAS - CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL - CASA DA FAMILIA,CRAS,"1 Leste, 2280 - Centro Administrativo, Teutônia - RS, 95890000",5137628377,01/04/2009,MDS,Google,-51.8127447,-29.4835388
21008305116,Apicum-Açu,2100832,MA,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,CRAS,"1, 0 - NOVO APICUM, Apicum-Açu - MA, 65275000",98984897347,01/08/2008,MDS,Google,-45.0933497,-1.5056652
33025004098,Magé,3302502,RJ,CRAS VILA INHOMIRIM II,CRAS,"1, 0 - Parque Sayonara, Magé - RJ, 25935010",2127396356,01/08/2004,MDS,Google,-43.1867094,-22.5958553
17161038582,Paraíso do Tocantins,1716109,TO,CRAS  Setor Oeste,CRAS,"1, 0 - Setor Oeste, Paraíso do Tocantins - TO, 77600000",6336022735,15/08/2016,MDS,Google,-48.8807199,-10.1789319
52177030048,Pontalina,5217708,GO,CRAS João José de Oliveira (Tio João Preto),CRAS,"1, 0 - Vila Paulina, Pontalina - GO, 75620000",6434711139,30/04/2010,MDS,Google,-49.44939170000001,-17.5229691
21112038590,São José de Ribamar,2111201,MA,CRAS - MAIOBA,CRAS,"1, 1 - TRIZIDELA DA MAIOBA, São José de Ribamar - MA, 65110000",98988355771,31/08/2016,MDS,Google,-44.1851658,-2.5338023
14006003866,São Luiz,1400605,RR,CRAS CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,CRAS,"1, 1 - mortbatlantida, São Luiz - RR, 69370000",9599042068,01/01/2005,MDS,Google,-60.1647697,0.8187673999999999
21113002412,São Luís,2111300,MA,CRAS BEQUIMÃO / VILA PALMEIRA,CRAS,"1, 10 - BEQUIMÃO, São Luís - MA, 65000000",98988650269,01/10/2005,MDS,Google,-44.2150001,-2.5002943
21105034417,São Bento,2110500,MA,CRAS III SEM FRONTEIRAS  SÃO LOURENÇO,CRAS,"1, 44 - SÃO LOURENÇO, São Bento - MA, 65235000",98987010817,11/11/2011,MDS,Google,-45.0513189,-22.12517
35499515070,São Lourenço da Serra,3549953,SP,CRAS - Centro de Referencia de Assistencia Social,CRAS,"10 DE AGOSTO, 55 - Centro, São Lourenço da Serra - SP, 6890000",1146862461,02/01/2010,MDS,Google,-46.9435362,-23.8530132
21053002043,Imperatriz,2105302,MA,CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL PARQUE LÚCIA,CRAS,"10 S/N, 0 - SANTA LUCIA, Imperatriz - MA, 65900000",99991726121,01/05/2007,MDS,Google,-47.4790966,-5.5205551
15055315117,Parauapebas,1505536,PA,CRAS - Centro de Referência de Assistência Social Rio Verde,CRAS,"10 de Maio, 0 - Rio Verde, Parauapebas - PA, 68515000",9433467266,01/12/2010,MDS,Google,-49.901718,-6.0785011
28072006171,Siriri,2807204,SE,CRAS VIVALDO MENEZES SANTOS,CRAS,"10 de Novembro, 115 - CENTRO, Siriri - SE, 49630000",7932971551,01/01/2008,MDS,Google,-37.1134048,-10.5969214
52045038168,Caldas Novas,5204508,GO,CRAS -CENTRO DE REFERENCIA DE ASSISTÊNCIA SOCIAL,CRAS,"10, 0 - SETOR LAGO DAS BRISAS, Caldas Novas - GO, 75690000",6434543552,21/10/2011,MDS,Google,-48.9080702,-18.2594776
33063003451,Volta Redonda,3306305,RJ,CRAS Siderlândia,CRAS,"10, 20 - SIDERLÂNDIA, Volta Redonda - RJ, 27273290",2433391951,01/01/2006,MDS,Google,-44.1349903,-22.5199833
52086001747,Goianésia,5208608,GO,CRAS - Centro de Refencia de Assistencia Social,CRAS,"10, 453 - Setor Sul, Goianésia - GO, 76380000",6233899429,01/09/2001,MDS,Google,-49.1143369,-15.3333103
23044002610,Fortaleza,2304400,CE,CRAS JOÃO PAULO II,CRAS,"10, 75 - JANGURUSSU, Fortaleza - CE, 60863630",8534885893,01/12/2005,MDS,Google,-38.5024525,-3.8448831
23076534641,Maracanaú,2307650,CE,CRAS  ACARACUZINHO,CRAS,"101, 172 - Conj. Acaracuzinho, Maracanaú - CE, 61920020",8533833536,03/10/2011,MDS,Google,-38.6107301,-3.8503267
23044014825,Fortaleza,2304400,CE,CRAS CONJUNTO ESPERANÇA,CRAS,"103, 195 - CONJUNTO ESPERANÇA, Fortaleza - CE, 60763520",8534848115,03/03/2008,MDS,Google,-38.5859399,-3.808151
21044004912,Gonçalves Dias,2104404,MA,CRAS I,CRAS,"11 DE AGOSTO, 0 - NOVO GONCALVES DIAS, Gonçalves Dias - MA, 65755000",9981088049,01/12/2008,MDS,Google,-44.2995891,-5.1545778
26116004486,Recife,2611606,PE,CRAS Totó,CRAS,"11 de Agosto, s/n, 0 - Totó, Recife - PE, 50791480",8132494464,01/01/2003,MDS,Google,-34.96842300000001,-8.0812083
21029004132,Carutapera,2102903,MA,CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,CRAS,"11 de maio, 0 - CENTRO, Carutapera - MA, 65295000",9833941342,01/11/2005,MDS,Google,-46.0213621,-1.2025716
52119038404,Jataí,5211909,GO,CRAS MAURO BENTO,CRAS,"11, 614 - MAURO BENTO, Jataí - GO, 75806510",6436310621,05/02/2015,MDS,Google,-51.7208025,-17.8569421
23055001678,Iguatu,2305506,CE,CRAS ANTONIO BEZERRA DE MELO,CRAS,"12 de Outubro, s/n, 22 - Paraná, Iguatu - CE, 63500000",88994446247,01/08/2005,MDS,Google,-39.2995674,-6.3527961
33039502732,Pinheiral,3303955,RJ,CRAS I,CRAS,"12 de outubro, 126 - Parque Mayra, Pinheiral - RJ, 27197000",2433565689,02/01/2005,MDS,Google,-44.0251002,-22.4903441
23076538444,Maracanaú,2307650,CE,CRAS TIMBÓ,CRAS,"125, 510 - Timbó, Maracanaú - CE, 61936280",8530148061,12/10/2015,MDS,Google,-38.6088747,-3.8773278
23037020675,Caucaia,2303709,CE,CRAS PERPÉTUA MAGALHÃES - METRÓPOLE,CRAS,"127, 118 - NOVA METRÓPOLE, Caucaia - CE, 61600000",8533421877,01/07/2010,MDS,Google,-38.6532692,-3.7665117
29240006598,Paulo Afonso,2924009,BA,CRAS BTN I,CRAS,"13 DE MAIO - PRAÇA CEU, 0 - TANCREDO NEVES I, Paulo Afonso - BA, 48600000",7538289400,01/10/2008,MDS,Google,-38.21901039999999,-9.4354082
22027215119,Cocal dos Alves,2202729,PI,CRAS CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,CRAS,"13 DE MAIO, 66 - CENTRO, Cocal dos Alves - PI, 64238000",8633310059,30/10/2009,MDS,Google,-41.44320570000001,-3.6018811
52036002477,Brazabrantes,5203609,GO,CRAS - Centro de Referência de Assistência Social -,CRAS,"13 QD-06 LT-14, 0 - SETOR ANANIAS, Brazabrantes - GO, 75440000",6235291243,01/05/2005,MDS,Google,-49.3754694,-16.404938
15065804511,Santa Maria das Barreiras,1506583,PA,CRAS  CASA DE TABUA,CRAS,"13 de Maio, 0 - CENTRO, Santa Maria das Barreiras - PA, 68565000",9433191335,01/01/2007,MDS,Google,-53.8047376,-29.6882192
50069003122,Porto Murtinho,5006903,MS,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL DE PORTO MURTINHO/MS,CRAS,"13 de maio, 0 - CENTRO, Porto Murtinho - MS, 79280000",6732872785,01/02/2005,MDS,Google,-57.8873596,-21.7020313
26009001355,Amaraji,2600906,PE,CRAS Amaraji,CRAS,"13 de maio, 25 - centro, Amaraji - PE, 55515000",81999999999,01/11/2005,MDS,Google,-35.4524341,-8.379105899999999
35538006143,Taquarituba,3553807,SP,13 de Maio,CRAS,"13 de maio, 560 - Centro, Taquarituba - SP, 18740000",1437623420,01/10/2007,MDS,Google,-49.2428499,-23.5337499
13026034697,Manaus,1302603,AM,CRAS Alvorada III,CRAS,"13, 0 - Alvorada III, Manaus - AM, 69042125",9232392003,01/08/2010,MDS,Google,-60.0575392,-3.0743579
21113020530,São Luís,2111300,MA,CRAS COHAB /FORQUILHA,CRAS,"13, 0 - COHAB ANIL IV, São Luís - MA, 65053330",9888650271,02/05/2010,MDS,Google,-44.2130198,-2.5500273
35376030518,Peruíbe,3537602,SP,CRAS VILA ERMINDA,CRAS,"13, 610 - ANTONIO NOVAES, Peruíbe - SP, 11750000",1334584642,28/12/2009,MDS,Google,-46.9586528,-24.255307
15061606635,Rio Maria,1506161,PA,CRAS -   TEREZA MARIA DE PAULA,CRAS,"13, 835 - CASCALHEIRA, Rio Maria - PA, 68530000",94991911832,01/02/2008,MDS,Google,-50.0462317,-7.3144325
22015704847,Belém do Piauí,2201572,PI,CRAS - CENTRO DE REFERENCIA DA ASSISTÊNCIA SOCIAL,CRAS,"14 DE DEZEMBRO, 0 - CENTRO, Belém do Piauí - PI, 64678000",8934410060,01/09/2008,MDS,Google,-40.9788775,-7.422094800000001
52147006334,Nova América,5214705,GO,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,CRAS,"14 DE NOVEMBRO ESQUINA /COM TIRADENTE, 0 - JARDIM DOS ALPES, Nova América - GO, 76345000",6233456144,01/08/2008,MDS,Google,-49.9655318,-16.4705961
52137705040,Montividiu do Norte,5213772,GO,CRAS - CENTRO DE REFERENCIA ASSISTENCIA SOCIAL DE MONTIVIDIU DO NORTE,CRAS,"14, 0 - CENTRO, Montividiu do Norte - GO, 76465000",6233846118,01/04/2009,MDS,Google,-48.7593128,-13.1368288
15054904395,Palestina do Pará,1505494,PA,CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,CRAS,"14, 0 - cidade nova, Palestina do Pará - PA, 68535000",9433511164,01/04/2007,MDS,Google,-48.4050987,-1.3572662
35439034415,Rio Claro,3543907,SP,CRAS - Região Panorama,CRAS,"14, 2763 - Jardim Wenzel, Rio Claro - SP, 13504257",1935235112,05/11/2010,MDS,Google,-47.57604329999999,-22.3990702
52207002232,Sítio d'Abadia,5220702,GO,CRAS DONA DIRCE VIEIRA REIS - TIA DIRCE,CRAS,"15 DE AGOSTO, 15 - CENTRO, Sítio d'Abadia - GO, 73990000",61996259709,01/01/2007,MDS,Google,-46.2536417,-14.8043306
21062003947,Luís Domingues,2106201,MA,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL DE LUÍS DOMINGUES,CRAS,"15 DE NOVEMBRO, 0 - BORBOLETAL, Luís Domingues - MA, 65290000",98984503127,01/12/2006,MDS,Google,-45.8659561,-1.3429723
17203012639,São Sebastião do Tocantins,1720309,TO,CRAS,CRAS,"15 DE NOVEMBRO, 0 - CENTRO, São Sebastião do Tocantins - TO, 77990000",6334261208,08/06/2009,MDS,Google,-48.33896439999999,-5.230121899999999
43204509528,Sério,4320453,RS,CRAS CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL DO MUNICIPIO DE SERIO/RS,CRAS,"15 DE NOVEMBRO, 318 - CENTRO, Sério - RS, 95918000",5137701062,10/02/2009,MDS,Google,-52.2689235,-29.3853089
35242001727,Jaborandi,3524204,SP,CASA DA FAMILIA,CRAS,"15 DE NOVEMBRO, 516 - SÃO BENEDITO, Jaborandi - SP, 14775000",1733471863,01/07/2006,MDS,Google,-48.4187846,-20.6383449
52191002537,Santa Bárbara de Goiás,5219100,GO,CRAS - CORAÇÃO DE MÃE - CASA DAS FAMÍLIAS,CRAS,"15 ESQ. C/ AVENIDA CASTELO BRANCO, 1 - CENTRAL, Santa Bárbara de Goiás - GO, 75390000",6236831411,01/01/2007,MDS,Google,-49.6912218,-16.5710827
26007020215,Aliança,2600708,PE,CRAS - Unidade Caueiras,CRAS,"15 de Agosto, 50 - Caueiras, Aliança - PE, 55890000",81992072176,10/05/2010,MDS,Google,-35.23088,-7.5976554
43145501705,Pirapó,4314555,RS,CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL/ CRAS,CRAS,"15 de Novembro, 1508 - CENTRO, Pirapó - RS, 97885000",5533511800,01/12/2005,MDS,Google,-55.2038278,-28.0806675
