enderecos,lon,lat,endereco
"MARANHAO, 3300 - PRINCESA ISABEL, Alta Floresta D'Oeste - RO, 76954000",-62.0014164,-11.9253166,"MARANHAO, 3300 - PRINCESA ISABEL, Alta Floresta D'Oeste - RO, 76954000"
"AVENIDA JAMARI, 4615 - SETOR 02, Ariquemes - RO, 76873125",-63.0184539,-9.9255096,"AVENIDA JAMARI, 4615 - SETOR 02, Ariquemes - RO, 76873125"
"TAMOIOS, 4887 - CENTRO, Cabixi - RO, 76994000",-60.54280979999999,-13.4945978,"TAMOIOS, 4887 - CENTRO, Cabixi - RO, 76994000"
"SILVIO APARECIDO PEREIRA, 877 - TEIXEIRÃO, Cacoal - RO, 76965628",-61.4316267,-11.4265185,"SILVIO APARECIDO PEREIRA, 877 - TEIXEIRÃO, Cacoal - RO, 76965628"
"Avenida Brasil, 2140 - Jardim São Paulo, Cerejeiras - RO, 76997000",-61.2801996,-13.2109867,"Avenida Brasil, 2140 - Jardim São Paulo, Cerejeiras - RO, 76997000"
"RAIMUNDO ALVES DE SOUZA, 4195 - CENTRO, Colorado do Oeste - RO, 76993000",-60.5439374,-13.1196668,"RAIMUNDO ALVES DE SOUZA, 4195 - CENTRO, Colorado do Oeste - RO, 76993000"
"Antônio Novaes, 2365 - Centro, Corumbiara - RO, 76995000",-60.95025709999999,-12.9965327,"Antônio Novaes, 2365 - Centro, Corumbiara - RO, 76995000"
"Principe da Beira, 1882 - MOFOB, Costa Marques - RO, 76937000",-64.4132233,-12.4242086,"Principe da Beira, 1882 - MOFOB, Costa Marques - RO, 76937000"
"ACRE, 2841 - VISTA ALEGRE, Espigão D'Oeste - RO, 76974000",-61.01345669999999,-11.5379858,"ACRE, 2841 - VISTA ALEGRE, Espigão D'Oeste - RO, 76974000"
"ESTEVÃO CORREIA, 5763 - JARDIM DAS ESMERALDAS, Guajará-Mirim - RO, 76850000",-65.2991755,-10.7595427,"ESTEVÃO CORREIA, 5763 - JARDIM DAS ESMERALDAS, Guajará-Mirim - RO, 76850000"
"Alberto Santos Dumont, 3429 - Jardim dos Estados, Jaru - RO, 76890000",-62.4736602,-10.4223166,"Alberto Santos Dumont, 3429 - Jardim dos Estados, Jaru - RO, 76890000"
"EUCLIDES DA CUNHA, 2685 - SETOR INDUSTRIAL, Jaru - RO, 76890000",-62.4877249,-10.4384763,"EUCLIDES DA CUNHA, 2685 - SETOR INDUSTRIAL, Jaru - RO, 76890000"
"PADRE CÍCERO, 721 - JARDIM DOS MIGRANTES, Ji-Paraná - RO, 76900656",-61.9691297,-10.8730724,"PADRE CÍCERO, 721 - JARDIM DOS MIGRANTES, Ji-Paraná - RO, 76900656"
"Calama, nº 913, 913 - São Francisco, Ji-Paraná - RO, 76908061",-61.9306693,-10.8784878,"Calama, nº 913, 913 - São Francisco, Ji-Paraná - RO, 76908061"
"Cambé, 2287 - JK, Ji-Paraná - RO, 76909732",-61.90966599999999,-10.872888,"Cambé, 2287 - JK, Ji-Paraná - RO, 76909732"
"AVENIDA TANGARÁ, 3282 - CENTRO, Machadinho D'Oeste - RO, 76868000",-61.99107489999999,-9.425879499999999,"AVENIDA TANGARÁ, 3282 - CENTRO, Machadinho D'Oeste - RO, 76868000"
"BRASILIA, 2277 - SETOR 5, Nova Brasilândia D'Oeste - RO, 76938000",-62.3126282,-11.7251694,"BRASILIA, 2277 - SETOR 5, Nova Brasilândia D'Oeste - RO, 76938000"
"ITAMAURU GÓES DE SIQUEIRA, 821 - JARDIM AEROPORTO I, Ouro Preto do Oeste - RO, 76920000",-62.2519398,-10.7255409,"ITAMAURU GÓES DE SIQUEIRA, 821 - JARDIM AEROPORTO I, Ouro Preto do Oeste - RO, 76920000"
"Ricardo Franco, 372 - Jardim das Oliveiras, Pimenta Bueno - RO, 76970000",-61.19854429999999,-11.6744757,"Ricardo Franco, 372 - Jardim das Oliveiras, Pimenta Bueno - RO, 76970000"
"AV. AMAZONAS, 3660 - AGENOR DE CARVALHO, Porto Velho - RO, 78820340",-63.8684979,-8.7615008,"AV. AMAZONAS, 3660 - AGENOR DE CARVALHO, Porto Velho - RO, 78820340"
"MARECHAL DEODORO, 1828 - CENTRO, Porto Velho - RO, 76800000",-63.8984019,-8.765552399999999,"MARECHAL DEODORO, 1828 - CENTRO, Porto Velho - RO, 76800000"
"Samaumeira, 3238 - Eletronorte, Porto Velho - RO, 76808584",-63.8966084,-8.7941719,"Samaumeira, 3238 - Eletronorte, Porto Velho - RO, 76808584"
"FONTE BOA, 0 - SOCIALISTA, Porto Velho - RO, 76820744",-66.095866,-2.515248,"FONTE BOA, 0 - SOCIALISTA, Porto Velho - RO, 76820744"
"RUA UNIÃO, 2103 - SÃO FRANCISCO, Porto Velho - RO, 76813304",-63.82927749999999,-8.7719955,"RUA UNIÃO, 2103 - SÃO FRANCISCO, Porto Velho - RO, 76813304"
"Avenida 7 de Setembro, 1371 - CENTRO, Presidente Médici - RO, 76916000",-61.9031173,-11.1717517,"Avenida 7 de Setembro, 1371 - CENTRO, Presidente Médici - RO, 76916000"
"OSVALDO PIANA FILHO, 1205 - Centro, Rio Crespo - RO, 76863000",-62.8991153,-9.7024945,"OSVALDO PIANA FILHO, 1205 - Centro, Rio Crespo - RO, 76863000"
"SAO PAULO, 4468 - BEIRA RIO, Rolim de Moura - RO, 76940000",-61.7733868,-11.7356695,"SAO PAULO, 4468 - BEIRA RIO, Rolim de Moura - RO, 76940000"
"rua Dº MIGUEL V. TEIXEIRA, 2215 - CENTRO, Santa Luzia D'Oeste - RO, 76950000",NA,NA,"rua Dº MIGUEL V. TEIXEIRA, 2215 - CENTRO, Santa Luzia D'Oeste - RO, 76950000"
"RIO GRANDE DO NORTE, 1950 - Parque Industrial Novo Tempo, Vilhena - RO, 76982174",-60.13441719999999,-12.7213117,"RIO GRANDE DO NORTE, 1950 - Parque Industrial Novo Tempo, Vilhena - RO, 76982174"
"SÃO PAULO, 1606 - PLANALTO, São Miguel do Guaporé - RO, 76932000",-62.7152388,-11.6869296,"SÃO PAULO, 1606 - PLANALTO, São Miguel do Guaporé - RO, 76932000"
"AFONSO PENA, 7046 - JOÃO FRANCISCO CLÍMACO, Nova Mamoré - RO, 76857000",-65.33125919999999,-10.4162164,"AFONSO PENA, 7046 - JOÃO FRANCISCO CLÍMACO, Nova Mamoré - RO, 76857000"
"GENERAL OSORIO, 3489 - CENTRO, Alto Alegre dos Parecis - RO, 76952000",-61.8588665,-12.1287469,"GENERAL OSORIO, 3489 - CENTRO, Alto Alegre dos Parecis - RO, 76952000"
"RUA CUJUBIM, 2158 - SETOR 03, Buritis - RO, 76880000",-63.830533,-10.209634,"RUA CUJUBIM, 2158 - SETOR 03, Buritis - RO, 76880000"
